video_key,video_id,title,file_path,risk,scene,subject,risk_type,description,avg_score,keep
generated_videos/家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍/grok-imagine-video/abnormal/R000232_abnormal.mp4,R000232_abnormal,家中卫生间/中毒误食/地垫上残留未干的清洁剂水渍,/data_4/liuyuan/lifebench/data/generated_videos/家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍/grok-imagine-video/abnormal/R000232_abnormal.mp4,Yes,家中卫生间,中年人,中毒误食,"The video content matches the prompt closely, showing the woman's reaction to stepping on a cleaning solution and her subsequent alarm and disgust. However, the event type is not explicitly abnormal as defined by the prompt, but rather a risk only scenario since no harm or accident occurs.",0,
generated_videos/家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍/grok-imagine-video/normal/R000232_normal.mp4,R000232_normal,家中卫生间/中毒误食/地垫上残留未干的清洁剂水渍,/home/caiqingyuan/code/lifebench/data/generated_videos/家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍/grok-imagine-video/normal/R000232_normal.mp4,No,家中卫生间,中年人,中毒误食,一个中年女性在洗手池前用肥皂和水洗手，然后用毛巾擦干手并把毛巾挂回原位。,86.45,
generated_videos/家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍/normal/R000232_normal.mp4,R000232_normal,家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍,/data_4/liuyuan/lifebench/data/generated_videos/家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍/normal/R000232_normal.mp4,,,,,,0,
generated_videos/家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍/veo3.1-fast/abnormal/R000232_abnormal.mp4,R000232_abnormal,家中卫生间/中毒误食/地垫上残留未干的清洁剂水渍,/data_4/liuyuan/lifebench/data/generated_videos/家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍/veo3.1-fast/abnormal/R000232_abnormal.mp4,Yes,家中卫生间,中年人,中毒误食,"The video content matches the prompt closely, showing an East Asian middle-aged woman in a bathroom with a blue cleaning solution on a bath mat. She steps onto it, slips, and examines her foot, which is contaminated with the solution. She then brings her foot to her face, showing concern about the residue. The sequence of events aligns with the abnormal behavior described in the prompt, and the risk source (the cleaning solution) is clearly present. However, the video does not explicitly show harm or dangerous consequences, so it falls into the ""weak_accept"" category.",0,
generated_videos/家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍/veo3.1-fast/normal/R000232_normal.mp4,R000232_normal,家中卫生间/中毒误食/地垫上残留未干的清洁剂水渍,/home/caiqingyuan/code/lifebench/data/generated_videos/家中卫生间/中年人/中毒误食/地垫上残留未干的清洁剂水渍/veo3.1-fast/normal/R000232_normal.mp4,,,,,,0,
generated_videos/家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏/grok-imagine-video/abnormal/R000231_abnormal.mp4,R000231_abnormal,家中卫生间/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏,/data_4/liuyuan/lifebench/data/generated_videos/家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏/grok-imagine-video/abnormal/R000231_abnormal.mp4,Yes,家中卫生间,中年人,中毒误食,"The video content matches the prompt closely, showing a man cleaning and accidentally getting his hand in a puddle of blue liquid cleaner, which is consistent with the abnormal sign and result described in the prompt. The scene, subject, risk source, and event type all align well with the provided description, and the semantic score indicates a high level of consistency.",0,
generated_videos/家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏/grok-imagine-video/normal/R000231_normal.mp4,R000231_normal,家中卫生间/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏,/home/caiqingyuan/code/lifebench/data/generated_videos/家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏/grok-imagine-video/normal/R000231_normal.mp4,,,,,,0,
generated_videos/家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏/normal/R000231_normal.mp4,R000231_normal,家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏,/data_4/liuyuan/lifebench/data/generated_videos/家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏/normal/R000231_normal.mp4,,,,,,0,
generated_videos/家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏/sora-2-chan1/abnormal/R000231_abnormal.mp4,R000231_abnormal,家中卫生间/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏,/data_4/liuyuan/lifebench/data/generated_videos/家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏/sora-2-chan1/abnormal/R000231_abnormal.mp4,Yes,家中卫生间,中年人,中毒误食,"The video content matches the prompt closely, showing a man cleaning under a sink and accidentally getting his hand in a puddle of blue liquid cleaner. The key elements of the scene, subject, risk source, and event type all align with the provided description. However, the semantic score is slightly lower than perfect due to minor deviations in the exact sequence of events and the description of the man's reaction.",0,
generated_videos/家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏/sora-2-chan1/normal/R000231_normal.mp4,R000231_normal,家中卫生间/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏,/home/caiqingyuan/code/lifebench/data/generated_videos/家中卫生间/中年人/中毒误食/洗手台下方清洁剂瓶盖未拧紧，液体渗漏/sora-2-chan1/normal/R000231_normal.mp4,No,家中卫生间,中年人,中毒误食,一个中年黑人男性在洗手池前用肥皂和水洗手，然后用毛巾擦干手。,85.57,
